DNI del Paciente,Nombre del paciente,Apellido del paciente,Codigo ICD10,Monto base,Complejidad,ID_Algoritmo
31947812,Jorge,Gimenez,B83.5,37212.07,R,2
28139536,Camila,Rojas,I66.0,51466.09,A,13
24048678,Nicolas,Torres,I10.6,31126.44,R,8
50270093,Matias,Fernandez,C16.6,83422.24,R,6
40353736,Laura,Torres,E68.0,80568.03,R,7
43026479,Julieta,Sosa,A42.8,29352.94,R,6
19778394,Martin,Sosa,M15.2,35248.57,R,3
31882952,Juan,Martinez,C09.0,12002.8,A,6
41317524,Marta,Gomez,I21.1,41903.3,A,1
49828762,Ana,Ruiz,F30.7,29659.55,R,13
15362455,Jorge,Perez,B16.1,82705.1,A,6
52260416,Jose,Perez,C43.5,19302.26,A,1
44641148,Jose,Suarez,M53.9,90176.85,R,2
18931500,Juan,Ruiz,B82.4,40987.14,R,1
23133805,Sofia,Lopez,F31.4,46071.5,A,2
46828621,Ana,Romero,C43.8,26107.02,R,2
42853818,Ana,Garcia,F46.0,78667.36,A,8
53647588,Juan,Sosa,E78.0,76549.75,A,7
26688740,Camila,Fernandez,A29.2,58001.82,R,1
51449248,Marta,Martinez,S21.0,11619.05,R,4
26980378,Marta,Gonzalez,A25.7,63199.62,R,8
50906575,Martin,Rodriguez,F41.2,58900.26,A,4
10645126,Carlos,Mendez,C01.1,19105.54,A,2
45563215,Camila,Ruiz,B83.3,22062.81,R,2
47917946,Florencia,Silva,E78.7,99095.49,A,1
48117944,Carlos,Perez,F40.5,39248.83,A,1
41409337,Lucas,Ruiz,S82.3,32344.44,R,2
27442322,Lucas,Sosa,C44.9,98370.0,A,1
37668457,Martin,Sosa,M79.9,84250.6,A,13
49651758,Camila,Acosta,I20.4,57942.55,R,2
15285423,Jorge,Garcia,F31.9,45723.62,R,6
26715386,Sofia,Silva,E65.4,42789.02,A,13
49809190,Juan,Gimenez,M53.3,61666.4,R,3
45604652,Martin,Fernandez,I23.1,58875.12,R,5
43095097,Luis,Diaz,F30.9,32294.43,A,3
52981160,Julieta,Torres,C50.5,61412.35,A,9
13756677,Carlos,Silva,C50.9,83316.17,A,2
40144633,Lucia,Fernandez,M17.3,98377.0,A,10
21860036,Julieta,Rodriguez,I14.2,76282.64,A,3
37628329,Lucas,Suarez,I60.3,73404.25,R,1
33164399,Martin,Rodriguez,I63.4,99636.24,A,9
52601598,Ana,Martinez,I25.0,97440.03,A,1
54529019,Maria,Garcia,M79.7,61144.81,A,1
42805933,Lucia,Ruiz,B83.4,34487.64,A,1
48552565,Pedro,Gimenez,I60.4,98698.21,R,8
10635195,Martin,Rojas,F42.3,18556.89,R,2
24464561,Carlos,Suarez,B19.0,90286.66,A,3
36358237,Pedro,Mendez,F32.9,32911.5,R,2
46177031,Diego,Silva,B21.6,40447.68,R,8
11589468,Matias,Gonzalez,C50.5,74597.91,A,3
12928745,Valentina,Ruiz,S08.0,36215.8,R,3
10977123,Lucia,Garcia,B16.4,45157.04,R,1
53828985,Lucas,Rojas,I10.6,59795.23,R,3
45235426,Martin,Silva,I12.6,99898.44,R,3
50174521,Florencia,Alvarez,C25.5,33100.26,A,7
47697941,Sofia,Mendez,S87.0,75348.54,R,12
27727685,Maria,Diaz,J43.7,80112.45,A,2
30711044,Diego,Suarez,F39.3,97543.97,R,9
11896887,Lucas,Rojas,S04.5,58145.75,R,1
40211455,Camila,Acosta,I61.1,75285.89,A,5
45150447,Camila,Ruiz,S52.7,12243.45,R,1
12389194,Luis,Acosta,E66.3,74450.94,A,1
30950371,Florencia,Gomez,B20.0,84216.02,R,6
20693381,Matias,Acosta,I61.4,72444.58,A,4
48291192,Diego,Sosa,C50.6,20265.44,R,4
51261965,Camila,Acosta,S52.0,69397.98,R,3
37130076,Diego,Martinez,M54.6,40628.06,R,12
20579065,Ana,Silva,J03.9,58842.79,R,1
50668657,Sofia,Rojas,J12.9,17760.3,R,1
20397524,Valeria,Gonzalez,I62.9,45630.83,R,3
49426966,Laura,Garcia,F41.9,62345.82,A,12
49458425,Matias,Sosa,S11.2,85062.59,A,8
44728143,Carlos,Martinez,F44.5,17855.58,A,1
33045230,Nicolas,Perez,A01.0,85899.37,A,1
35972302,Valentina,Gonzalez,C16.1,75535.64,A,1
46269174,Camila,Gonzalez,F47.2,94012.64,A,13
24019060,Sofia,Gimenez,F43.5,26862.38,R,12
14442430,Lucia,Perez,M51.7,84412.67,A,12
53648324,Ana,Perez,A29.3,89472.33,R,6
51242384,Laura,Perez,J11.7,16163.14,R,11
19687456,Pedro,Lopez,J47.6,96757.94,A,3
11910917,Laura,Garcia,E78.8,83134.03,A,2
37908666,Martin,Martinez,J03.5,19953.04,R,7
27417583,Laura,Gimenez,A00.1,12038.19,R,2
